英文詞彙,詞性,中文解釋
recover,v,恢復；找回 (動詞) (例如: to recover from an illness)
recycle,v,回收利用 (動詞) (例如: I don't recycle as much as I should.)
recycled,adj,回收利用的 (形容詞)
recycling,n,回收利用 (名詞)
red,adj,紅色的 (形容詞)
red,n,紅色 (名詞)
reduce,v,減少；降低 (動詞)
refreshments,n pl,茶點；點心飲料 (名詞複數)
refrigerator,n,冰箱 (名詞)
refund,n,退款 (名詞)
refuse,v,拒絕 (動詞)
regarding,prep,關於；至於 (介係詞)
regards,n pl,問候 (名詞複數)
region,n,地區；區域；領域 (名詞)
register,v,註冊；登記；掛號 (動詞) (例如: He registered with a new doctor.)
registration,n,註冊；登記 (名詞)
regret,n,後悔；遺憾 (名詞)
regret,v,後悔；遺憾 (動詞)
regular,adj,規律的；定期的；普通的 (形容詞)
regularly,adv,規律地；定期地 (副詞)
relation,n,關係；親戚 (名詞) (例如: to visit a relation)
relationship,n,關係；關聯 (名詞)
relative,n,親戚 (名詞) (例如: a relative came to stay)
relax,v,放鬆；鬆懈 (動詞)
relaxation,n,放鬆；鬆弛；消遣 (名詞)
relaxed,adj,放鬆的；輕鬆的 (形容詞)
reliable,adj,可靠的；可信賴的 (形容詞)
relieved,adj,感到寬慰的；放心的 (形容詞)
religion,n,宗教；信仰 (名詞)
rely (on),v,依賴；依靠 (動詞)
remain,v,保持；仍然是；留下 (動詞)
remember,v,記得；記住 (動詞)
remind,v,提醒；使想起 (動詞)
remote control,n,遙控器 (名詞)
remove,v,移除；脫掉 (動詞)
rent,n,租金；租賃 (名詞)
rent,v,租用；出租 (動詞)
repair,n,修理；修補 (名詞)
repair,v,修理；修補 (動詞)
repeat,v,重複；複述 (動詞)
replace,v,取代；更換 (動詞)
reply,n,回答；答覆 (名詞)
reply,v,回答；答覆 (動詞)
report,n,報告；報導 (名詞)
report,v,報告；報導 (動詞)
reporter,n,記者 (名詞)
request,n,要求；請求 (名詞)
request,v,要求；請求 (動詞)
require,v,需要；要求 (動詞)
rescue,n,救援；營救 (名詞)
rescue,v,救援；營救 (動詞)
research,n,研究；調查 (名詞)
research,v,研究；調查 (動詞)
reservation,n,預訂；保留 (名詞)
reserve,n,儲備；預備品；自然保護區；替補隊員 (名詞) (例如: She was a reserve for the team.)
reserve,v,預訂；保留 (動詞) (例如: to reserve a seat)
resort,n,度假勝地；手段 (名詞)
respect,n,尊敬；尊重；方面 (名詞)
respect,v,尊敬；尊重 (動詞)
responsible,adj,負責任的；應承擔責任的 (形容詞)
rest,n,休息；剩餘部分 (名詞) (例如: a rest from work; the rest of them)
rest,v,休息；倚靠 (動詞) (例如: The doctor told her to rest.)
restaurant,n,餐廳；餐館 (名詞)
result,n,結果；成果 (名詞)
retire,v,退休 (動詞)
return,n,返回；歸還；回報；來回票 (名詞) (例如: a return (ticket))
return,v,返回；歸還 (動詞) (例如: to return home)
review,n,評論；複習；審查 (名詞)
revise,v,修訂；複習 (動詞) (尤指英式)
revision,n,修訂；複習 (名詞) (尤指英式)
reward,n,獎勵；報酬 (名詞)
rice,n,米飯；稻米 (名詞)
rich,adj,富有的；豐富的；油膩的 (形容詞)
ride,n,騎乘；搭乘；遊樂設施 (名詞)
ride,v,騎(馬、自行車等)；搭乘 (動詞)
rider,n,騎手；乘客 (名詞)
right,adj,正確的；右邊的；合適的；健康的 (形容詞) (例如: the right time (correct); the right person for the job (suitable); my right foot; Everything will be all right.)
right,adv,正確地；向右；正好；完全 (副詞) (例如: Go right there. (directly); Fill it right to the top. (completely))
right,n,權利；右邊；正確的事 (名詞) (例如: the right to vote)
right-hand,adj,右手的；右側的 (形容詞)
ring,n,戒指；環；鈴聲；拳擊場 (名詞) (例如: stand in a ring; a wedding ring; Give me a ring tomorrow. (phone))
ring,v,響鈴；打電話 (動詞) (例如: Suddenly the bell rang.)
ring back,phr v,回電話 (片語動詞)
ring up,phr v,打電話給(某人) (片語動詞) (例如: to telephone somebody)
rise,v,上升；起床；升起；上漲 (動詞) (例如: The sun rises in the east.; Prices are rising.)
river,n,河流 (名詞)
road,n,道路；公路 (名詞)
roast,adj,烘烤的 (形容詞)
roast,v,烘烤 (動詞)
rob,v,搶劫；盜竊 (動詞)
robot,n,機器人 (名詞)
rock,n,岩石；搖滾樂 (名詞) (例如: rock (music); a hard piece of rock)
rocket,n,火箭 (名詞) (例如: They sent a rocket into space.)
role,n,角色；作用 (名詞)
roll,n,捲；麵包捲；名單 (名詞) (例如: a roll of film; a bread roll)
romance,n,戀愛；浪漫史；傳奇故事 (名詞)
romantic,adj,浪漫的；愛情的 (形容詞)
roof,n,屋頂 (名詞)
room,n,房間；空間；餘地 (名詞) (例如: the sitting room; There's lots of room in here.)
rope,n,繩索 (名詞)
rose,n,玫瑰花；粉紅色 (名詞)
rough,adj,粗糙的；崎嶇的；大致的；粗暴的 (形容詞) (例如: a rough road; a rough idea; rough work)
round,adj,圓的；環繞的 (形容詞) (例如: a round object)
round,adv,環繞地；轉過來 (副詞) (例如: the wrong way round)
round,prep,圍繞；環繞 (介係詞) (例如: to sit round a table)
roundabout,n,圓環；旋轉木馬 (名詞)
route,n,路線；路途 (名詞)
routine,n,例行公事；常規；慣例 (名詞)
row,n,一排；一列；划船；爭吵 (名詞) (例如: a row of seats)
rubber,n,橡膠；橡皮擦(英式) (名詞) (例如: a rubber (eraser))
rubbish,n,垃圾；廢話 (名詞) (英式)
rude,adj,粗魯的；無禮的 (形容詞)
rug,n,小地毯 (名詞)
rugby,n,橄欖球 (名詞) (英式)
ruin,n,毀滅；廢墟 (名詞)
ruin,v,毀壞；破壞 (動詞)
rule,n,規則；統治 (名詞) (例如: the rules of grammar)
rule,v,統治；裁決 (動詞) (例如: to rule a country)
ruler,n,尺；統治者 (名詞) (例如: draw a line using a ruler)
run,v,跑；經營；運作；流動 (動詞) (例如: to run in a race; to run a business)
runner,n,賽跑者；跑步者 (名詞)
running,n,跑步；運作 (名詞)
run out,phr v,用完；耗盡；到期 (片語動詞) (例如: He ran out of time and didn't finish.)
sad,adj,悲傷的；令人遺憾的 (形容詞)
safe,adj,安全的；可靠的 (形容詞) (例如: to be safe from harm)
safely,adv,安全地 (副詞)
sail,n,帆；航行 (名詞)
sail,v,航行；駕駛帆船 (動詞)
sailing,n,航海；帆船運動 (名詞)
salad,n,沙拉 (名詞)
salary,n,薪水 (名詞) (通常指月薪或年薪)
sale,n,銷售；特價；拍賣 (名詞)
salesman,n,男銷售員 (名詞)
saleswoman,n,女銷售員 (名詞)
salmon,n,鮭魚 (名詞) (單複數同形)
salt,n,鹽 (名詞)
same,adj,相同的；同樣的 (形容詞) (例如: at the same time)
same,pron,同樣的事物 (代名詞) (例如: Your watch is the same as mine.)
same,adv,同樣地 (副詞) (例如: You should treat everyone the same.)
sand,n,沙子；沙灘 (名詞)
sandal,n,涼鞋 (名詞)
sandwich,n,三明治 (名詞)
satisfactory,adj,令人滿意的；合格的 (形容詞)
satisfied,adj,感到滿意的 (形容詞)
sauce,n,醬汁；調味汁 (名詞)
saucepan,n,平底深鍋 (名詞)
saucer,n,茶碟；小碟子 (名詞)
sausage,n,香腸 (名詞)
save,v,拯救；節省；儲存 (動詞) (例如: to save someone; to save money; to save time)
say,v,說；講 (動詞) (例如: to say something to someone; I really can't say. (give an opinion))
scared,adj,害怕的；恐懼的 (形容詞)
scarf,n,圍巾；領巾 (名詞)
scary,adj,可怕的；嚇人的 (形容詞)
scene,n,場景；景象；一場(戲) (名詞)
scenery,n,風景；景色 (名詞) (不可數)
school,n,學校 (名詞)
schoolchild,n,學童 (名詞)
science,n,科學 (名詞)
science fiction,n,科幻小說/電影 (名詞)
scientific,adj,科學的 (形容詞)
scientist,n,科學家 (名詞)
scissors,n pl,剪刀 (名詞複數)
scooter,n,滑板車；小型摩托車 (名詞)
score,n,得分；樂譜；二十 (名詞) (例如: The score was 3-0.)
score,v,得分；評分 (動詞) (例如: to score a goal)
scream,n,尖叫聲 (名詞)
scream,v,尖叫 (動詞)
screen,n,螢幕；銀幕；屏風 (名詞)
sculpture,n,雕塑；雕刻品 (名詞)
sea,n,海；海洋 (名詞)
search,n,搜尋；搜索 (名詞)
search,v,搜尋；搜索 (動詞)
seaside,n,海邊；海濱 (名詞)
season,n,季節；旺季/淡季 (名詞)
seat,n,座位 (名詞)
seat belt,n,安全帶 (名詞)
second,adv,第二地；其次 (副詞) (例如: She came second and won silver.)
second,det,第二的 (限定詞) (例如: This is the second time you've been late.)
second,n,秒；第二名；瞬間 (名詞) (例如: sixty seconds in a minute)
secondary,adj,次要的；中等的；第二的 (形容詞) (例如: secondary school 中學)
second-hand,adj,二手的；舊的 (形容詞)
second-hand,adv,間接地 (副詞)
secret,adj,秘密的 (形容詞)
secret,n,秘密 (名詞)
secretary,n,秘書 (名詞)
section,n,部分；區域；部門；章節 (名詞)
security,n,安全；保全；證券 (名詞)
see,v,看見；明白；拜訪；確保 (動詞) (例如: to see something (with the eyes); to see the joke (understand); to see someone about a problem (consult))
seem,v,似乎；好像 (動詞)
select,v,選擇；挑選 (動詞)
selfie,n,自拍照 (名詞) (例如: take a selfie)
selfish,adj,自私的 (形容詞)
self-service,adj,自助式的 (形容詞)
sell,v,賣；銷售 (動詞)
send,v,寄送；派遣 (動詞)
sense,n,感覺；感官；意義；判斷力 (名詞)
sensible,adj,明智的；合理的；實際的 (形容詞)
sentence,n,句子；判決 (名詞) (例如: words in a sentence)
separate,adj,分開的；各自的 (形容詞)
series,n,系列；連續 (名詞) (單複數同形) (例如: a TV series)
serious,adj,嚴肅的；嚴重的；認真的 (形容詞) (例如: a serious person; a serious illness)
seriously,adv,嚴肅地；嚴重地；認真地 (副詞)
serve,v,服務；供應(食物)；發球；服役 (動詞) (例如: to serve in a shop)
server,n,服務生；伺服器 (名詞) (例如: a file server)
service,n,服務；公共服務系統；維修保養 (名詞) (例如: a bus service; customer service)
session,n,一段時間；會議；課程 (名詞) (例如: in a school, gym)
set,n,一套；一組；佈景；(網球等)一盤 (名詞)
set,v,放置；設定；(太陽)下山；凝固 (動詞)
set off,phr v,出發；引起 (片語動詞) (例如: She set off early for work.)
set out,phr v,出發；開始；陳列 (片語動詞) (例如: They set out on the long journey.)
set up,phr v,建立；設立；安排 (片語動詞) (例如: Her mother helped her to set up in business.)
several,det,幾個；數個 (限定詞)
several,pron,幾個；數個 (代名詞)
sew,v,縫；縫紉 (動詞)
sex,n,性別；性 (名詞) (例如: the male/female sex)
shade,n,陰涼處；色度；燈罩 (名詞) (例如: to sit in the shade)
shadow,n,影子；陰影 (名詞)
shake,v,搖動；顫抖；握手 (動詞)
shall,mv,將要(用於第一人稱)；應該(表建議或義務) (情態助動詞)
shame,n,羞恥；遺憾的事 (名詞)
shampoo,n,洗髮精 (名詞)
shape,n,形狀；體形；狀態 (名詞)
share,v,分享；共有 (動詞)
shark,n,鯊魚 (名詞)
sharp,adj,鋒利的；尖的；敏銳的；急劇的 (形容詞) (例如: a sharp knife; a sharp corner; a sharp picture)
shave,v,刮(鬍子、毛髮) (動詞)
she,pron,她 (代名詞)
sheep,n,羊；綿羊 (名詞) (單複數同形)
sheet,n,床單；一張(紙)；薄片 (名詞) (例如: sheets on a bed; a sheet of paper; information sheet)
shelf,n,架子 (名詞)
shine,v,照耀；發光；擦亮 (動詞)
shiny,adj,閃亮的；有光澤的 (形容詞)
ship,n,船；艦 (名詞)
shirt,n,襯衫 (名詞)
shock,n,震驚；休克；電擊 (名詞) (例如: to suffer from shock)
shocked,adj,感到震驚的 (形容詞)
shocking,adj,令人震驚的；駭人聽聞的 (形容詞)
shoe,n,鞋子 (名詞)
shoot,v,射擊；拍攝；發射；(植物)發芽 (動詞) (例如: to shoot at the goal)
shop,n,商店 (名詞)
shop,v,購物 (動詞)
shop assistant,n,店員 (名詞)
shopping,n,購物 (名詞) (例如: Let's go shopping tomorrow)
shore,n,岸邊；海岸 (名詞)
short,adj,短的；矮的；不足的 (形容詞)
shortly,adv,不久；很快 (副詞)
shorts,n pl,短褲 (名詞複數) (例如: a pair of shorts)
should,mv,應該；應當 (情態助動詞)
shoulder,n,肩膀 (名詞)
shout,n,喊叫 (名詞)
shout,v,喊叫 (動詞)
show,n,表演；展覽；節目 (名詞) (例如: a film show)
show,v,展示；顯示；帶領；證明 (動詞) (例如: Show it to me.; The picture shows a village.; It shows that they care.)
show up,phr v,出現；露面；使顯眼 (片語動詞) (例如: He showed up at the party)
shower,n,淋浴；陣雨；送禮會 (名詞) (例如: a shower of rain; to have a shower)
shut,adj,關閉的 (形容詞)
shut,v,關閉 (動詞)
shy,adj,害羞的 (形容詞)
sick,adj,生病的；噁心的 (形容詞)
side,n,邊；面；一方；旁邊 (名詞)
sight,n,視力；景象；看見 (名詞) (例如: Her sight is better with glasses.; in sight, out of sight)
sightseeing,n,觀光 (名詞)
sign,n,標誌；招牌；手勢；跡象 (名詞) (例如: a road sign; no sign of life; signs of winter)
sign,v,簽名；打手勢 (動詞) (例如: to sign a document)
signal,n,信號；號誌 (名詞)
signal,v,發信號 (動詞)
signature,n,簽名 (名詞)
signpost,n,路標 (名詞)
sign up,v phr,報名參加；註冊 (動詞片語) (例如: sign up for an online course)
silence,n,寂靜；沉默 (名詞)
silent,adj,寂靜的；沉默的 (形容詞)
silk,adj,絲綢製的 (形容詞)
silk,n,絲綢 (名詞)
silly,adj,愚蠢的；傻的 (形容詞)
silver,adj,銀色的；銀製的 (形容詞)
silver,n,銀；銀器；銀色 (名詞)
similar,adj,相似的；類似的 (形容詞)
simple,adj,簡單的；樸素的；單純的 (形容詞)
since,conj,自從；因為 (連接詞)
since,prep,自從...以來 (介係詞)
sincerely,adv,真誠地；由衷地 (副詞) (例如: Yours sincerely (信末署名))
sing,v,唱歌 (動詞)
singer,n,歌手 (名詞)
singing,n,唱歌 (名詞)
single,n,單曲；單人房；單程票 (名詞) (例如: a single (ticket) to Manchester)
single,adj,單一的；單身的；單人的 (形容詞) (例如: to be single (unmarried); a single room)
sink,n,水槽 (名詞) (例如: a kitchen sink)
sink,v,下沉；沉沒 (動詞) (例如: The ship began to sink.)
sir,n,先生(尊稱)；爵士 (名詞) (例如: Yes, sir!)
sister,n,姊妹 (名詞)
sit,v,坐 (動詞)
sit down,phr v,坐下 (片語動詞)
site,n,地點；場所；網站 (名詞)
sitting room,n,起居室；客廳 (名詞) (英式)
situated,adj,位於...的 (形容詞)
situation,n,情況；處境；位置 (名詞)
size,n,尺寸；大小；號碼 (名詞)
skate,n,溜冰鞋 (名詞)
skate,v,溜冰 (動詞)
skateboard,n,滑板 (名詞)
skateboard,v,玩滑板 (動詞)
skateboarding,n,滑板運動 (名詞)
skating,n,溜冰 (名詞)
ski,n,滑雪板 (名詞)
ski,v,滑雪 (動詞)
skiing,n,滑雪運動 (名詞)
skill,n,技巧；技能 (名詞)
skin,n,皮膚；外皮 (名詞)
skirt,n,裙子 (名詞)
sky,n,天空 (名詞)
sleep,n,睡眠 (名詞)
sleep,v,睡覺 (動詞) (例如: I usually go to sleep at 11pm.)
sleeve,n,袖子 (名詞)
slice,n,薄片 (名詞)
slightly,adv,稍微；輕微地 (副詞)
slim,adj,苗條的；纖細的 (形容詞)
slip,v,滑倒；滑落；悄悄溜走 (動詞) (例如: to slip on the ice)
slow,adj,慢的 (形容詞)
slowly,adv,慢慢地 (副詞)
small,adj,小的；少的 (形容詞)
smart,adj,聰明的；時髦的；整潔的；(疼痛)劇烈的 (形容詞) (例如: a smart idea (Am Eng); smart clothes)
smartphone,n,智慧型手機 (名詞)
smell,n,氣味；嗅覺 (名詞)
smell,v,聞；散發氣味 (動詞)
smile,n,微笑 (名詞)
smile,v,微笑 (動詞)
smoke,n,煙；抽煙 (名詞)
smoke,v,抽煙；冒煙 (動詞)
smoking,n,抽煙 (名詞)
smooth,adj,平滑的；順利的；(味道)醇和的 (形容詞) (例如: a smooth surface (level); a smooth ride in the new car (comfortable))
snack,n,點心；小吃 (名詞)
snake,n,蛇 (名詞)
snow,n,雪 (名詞)
snow,v,下雪 (動詞)
snowboard,n,滑雪板(單板) (名詞)
snowboard,v,玩單板滑雪 (動詞)
snowboarding,n,單板滑雪運動 (名詞)
so,adv,如此；這麼；所以；也是 (副詞)
so,conj,所以；因此 (連接詞)
soap,n,肥皂 (名詞)
soap opera,n,肥皂劇；連續劇 (名詞)
soccer,n,足球 (名詞) (美式英語)
sociable,adj,好交際的；合群的 (形容詞)
social,adj,社會的；社交的 (形容詞)
social media,n,社群媒體 (名詞)
society,n,社會；社團 (名詞)
sock,n,襪子 (名詞)
sofa,n,沙發 (名詞)
soft,adj,柔軟的；溫和的；輕柔的 (形容詞) (例如: a soft material; a softdrink)
software,n,軟體 (名詞) (不可數)
soldier,n,士兵；軍人 (名詞)
solution,n,解決方法；答案；溶液 (名詞)
solve,v,解決；解答 (動詞)
some,det,一些；有些 (限定詞)
some,pron,一些；有些人/物 (代名詞)
somebody,pron,某人 (代名詞)
somehow,adv,不知怎麼地；以某種方式 (副詞)
someone,pron,某人 (代名詞)
something,pron,某事；某物 (代名詞) (例如: Be into something. (對...感興趣); He's really into sports.)
sometimes,adv,有時候 (副詞)
somewhere,adv,某處；在某個地方 (副詞)
son,n,兒子 (名詞)
song,n,歌曲 (名詞)
soon,adv,很快；不久 (副詞) (例如: I'll come soon.; as soon as I can)
sore,adj,疼痛的；痠痛的 (形容詞)
sorry,adj,抱歉的；遺憾的；難過的 (形容詞)
sort,n,種類；類型 (名詞) (例如: the same sort)
so-so,adj,馬馬虎虎的；勉強可以的 (形容詞)
soul,n,靈魂；心靈；人 (名詞)
sound,n,聲音；聲響 (名詞) (例如: the sound of music)
sound,v,聽起來；發出聲音 (動詞) (例如: It sounds like/as if...)
soundtrack,n,電影配樂；原聲帶 (名詞) (例如: The film's soundtrack has music by Adele.)
soup,n,湯 (名詞)
sour,adj,酸的；酸臭的 (形容詞) (例如: a sour taste)
south,adj,南方的 (形容詞)
south,adv,向南方 (副詞)
south,n,南方 (名詞)
southeast,adj,東南的；東南方的 (形容詞)
southeast,n,東南；東南方 (名詞)
southern,adj,南方的；南部的 (形容詞)
southwest,adj,西南的；西南方的 (形容詞)
southwest,n,西南；西南方 (名詞)
souvenir,n,紀念品 (名詞)
space,n,空間；太空；空白 (名詞) (例如: a parking space; write in the spaces; not enough space; outer space)
spaceship,n,太空船 (名詞)
spare,adj,多餘的；備用的；空閒的 (形容詞) (例如: spare cash, spare time)
spare,v,騰出(時間、金錢)；饒恕 (動詞) (例如: to spare the time)
sparkling,adj,閃閃發光的；(飲料)起泡的 (形容詞) (例如: Sparkling water, please.)
speak,v,說話；演講 (動詞)
speaker,n,演講者；喇叭 (名詞)
special,adj,特別的；專門的 (形容詞)
specially,adv,特別地；專門地 (副詞)
species,n,物種；種類 (名詞) (單複數同形)
spectacular,adj,壯觀的；驚人的 (形容詞)
speech,n,演講；說話能力；言詞 (名詞)
speed,n,速度；速率 (名詞)
spell,v,拼字；意味著 (動詞)
spelling,n,拼字；拼法 (名詞)
spend,v,花費(時間、金錢)；度過 (動詞) (例如: to spend money/time)
spice,n,香料；調味品 (名詞)
spicy,adj,辛辣的；加很多香料的 (形容詞)
spill,v,灑出；溢出 (動詞)
spinach,n,菠菜 (名詞)
spite,n,惡意；怨恨 (名詞) (例如: in spite of 儘管)
split up,phr v,分手；分裂 (片語動詞) (例如: She's just split up with her boyfriend.)
spoil,v,寵壞；破壞；(食物)變質 (動詞)
spoon,n,湯匙 (名詞)
sport,n,運動 (名詞)
sports centre,n,體育中心 (名詞) (英式)
spot,n,斑點；地點；污漬 (名詞)
spy,n,間諜 (名詞)
square,adj,正方形的；平方的 (形容詞) (例如: a square room)
square,n,正方形；廣場 (名詞) (例如: a market square)
squash,n,壁球；南瓜；果汁飲料(英式) (名詞)
stadium,n,體育場 (名詞)
staff,n,全體員工；教職員 (名詞) (集合名詞)
stage,n,舞台；階段 (名詞) (例如: to perform on a stage)
stairs,n pl,樓梯 (名詞複數)
stall,n,攤位；貨攤；(劇院)正廳前排座位(英式) (名詞) (例如: market stall)
stamp,n,郵票；印章；跺腳 (名詞) (例如: a postage stamp)
stand,v,站立；忍受；處於(某狀態) (動詞)
star,n,星星；明星 (名詞) (例如: stars in the sky; a film star)
start,n,開始；起點 (名詞) (例如: a good start)
start,v,開始；出發；啟動 (動詞) (例如: to start a race)
station,n,車站；局；所；電台 (名詞) (例如: a bus/fire/radio station)
statue,n,雕像 (名詞)
stay,n,停留；逗留 (名詞) (例如: a two-night stay)
stay,v,停留；保持；繼續是 (動詞) (例如: to stay to dinner; to stay with friends; to stay looking young)
stay behind,phr v,留下；逗留 (片語動詞) (例如: She stayed behind after the lesson to speak to the teacher.)
steak,n,牛排；肉排 (名詞)
steal,v,偷竊 (動詞)
steep,adj,陡峭的 (形容詞)
step,n,腳步；台階；步驟 (名詞) (例如: two steps forward; to climb the steps)
step forward,v phr,向前走；站出來 (動詞片語)
step backwards,v phr,向後退 (動詞片語)
step out,v phr,走出去；暫時離開 (動詞片語)
step over,v phr,跨過 (動詞片語)
step in,v phr,介入；走進 (動詞片語)
step on,v phr,踩到 (動詞片語)
step out of,v phr,走出 (動詞片語)
stick,n,棍子；枝條；手杖 (名詞) (例如: a walking stick)
stick,v,黏貼；伸出；堅持 (動詞) (例如: to stick two things together)
sticky,adj,黏的；棘手的 (形容詞)
still,adj,靜止的；(飲料)不起泡的 (形容詞) (例如: I prefer still to sparkling water.)
still,adv,仍然；還；更加 (副詞) (例如: Sit still!; She's still here.)
stir,v,攪拌；撥動；激起 (動詞)
stomach,n,胃；腹部 (名詞)
stomach ache,n,胃痛；肚子痛 (名詞)
stone,n,石頭；寶石；(水果)核 (名詞) (例如: a large stone; a stone bridge)
stop,n,停止；車站；逗留 (名詞) (例如: a bus stop)
stop,v,停止；阻止 (動詞) (例如: The car stopped.; It's stopped raining.; The rain stopped me from going out.)
store,n,商店；倉庫；儲存 (名詞) (例如: a department store)
storm,n,暴風雨；風暴 (名詞)
story,n,故事；樓層(美式) (名詞)
straight,adj,直的；坦率的 (形容詞) (例如: a straight road)
straight,adv,直接地；筆直地 (副詞) (例如: to go straight on)
strange,adj,奇怪的；陌生的 (形容詞)
stranger,n,陌生人 (名詞)
strawberry,n,草莓 (名詞)
stream,n,小河；溪流；流動 (名詞)
street,n,街道 (名詞)
stress,n,壓力；強調；重音 (名詞) (例如: He didn't want the stress of a new job.)
stressed,adj,感到有壓力的；緊張的 (形容詞)
stressful,adj,充滿壓力的；緊張的 (形容詞)
strict,adj,嚴格的；嚴厲的 (形容詞)
strike,n,罷工；襲擊；好球(棒球) (名詞) (例如: to go on strike)
strike,v,打擊；襲擊；罷工；突然想到 (動詞) (例如: to strike something)
stripe,n,條紋 (名詞)
strong,adj,強壯的；堅固的；濃的 (形容詞)
student,n,學生 (名詞)
studio,n,工作室；攝影棚；錄音室；單房公寓 (名詞) (例如: TV/artist's/recording studio)
studies,n pl,學業；研究 (名詞複數) (例如: Social Studies)
study,n,學習；研究；書房 (名詞)
study,v,學習；研究 (動詞) (例如: to study physics; to study the map)
stuff,n,東西；材料；物品 (名詞) (不可數，口語)
stupid,adj,愚蠢的；笨的 (形容詞)
style,n,風格；款式；時尚 (名詞)
stylish,adj,時髦的；有格調的 (形容詞)
subject,n,主題；科目；主詞；國民 (名詞) (例如: the subject of a discussion; the subject of a sentence; a school subject)
subtract,v,減去 (動詞)
subway,n,地鐵(美式)；地下道(英式) (名詞)
succeed,v,成功；繼承 (動詞)
success,n,成功 (名詞)
successful,adj,成功的 (形容詞)
such,det,如此的；這樣的 (限定詞)
sudden,adj,突然的 (形容詞)
suddenly,adv,突然地 (副詞)
suffer,v,遭受；受苦；患病 (動詞)
sugar,n,糖 (名詞)
suggest,v,建議；暗示 (動詞)
suggestion,n,建議；提議 (名詞)
suit,n,西裝；套裝；訴訟 (名詞) (例如: to wear a suit)
suit,v,適合；合身 (動詞) (例如: The colour red suits you.; Which time suits you?)
suitable,adj,適合的；合適的 (形容詞)
suitcase,n,手提箱；行李箱 (名詞)
sum,n,總數；金額；算術題 (名詞) (例如: Huge sum of money.)
sun,n,太陽；陽光 (名詞)
sunbathe,v,作日光浴 (動詞)
sunglasses,n pl,太陽眼鏡 (名詞複數)
sunny,adj,晴朗的；陽光明媚的 (形容詞)
sunrise,n,日出 (名詞)
sunset,n,日落；黃昏 (名詞)
sunshine,n,陽光 (名詞)
superhero,n,超級英雄 (名詞)
supermarket,n,超級市場 (名詞)
supper,n,晚餐；宵夜 (名詞) (較不正式或較晚的晚餐)
supply,v,供應；提供 (動詞) (例如: Fran supplied the sandwiches for the party.)
support,n,支持；支撐；供養 (名詞) (例如: She gave me a lot of support during my exams.)
support,v,支持；支撐；供養 (動詞) (例如: to support a weight; to support a team)
supporter,n,支持者；擁護者 (名詞)
suppose,v,猜想；認為；假定 (動詞) (例如: I suppose it's true.; You aren't supposed to drive fast.; It's supposed to be a good film.)
sure,adj,確定的；有信心的 (形容詞) (例如: I'm sure you're right.)
sure,adv,當然；的確 (副詞) (例如: to make sure)
surf,v,衝浪；上網瀏覽 (動詞)
surfboard,n,衝浪板 (名詞)
surfing,n,衝浪運動 (名詞)
surname,n,姓氏 (名詞)
surprise,n,驚訝；驚喜；令人驚訝的事物 (名詞)
surprise,v,使驚訝 (動詞)
surprised,adj,感到驚訝的 (形容詞)
surprising,adj,令人驚訝的 (形容詞)
surround,v,圍繞；包圍 (動詞) (例如: The cottage is surrounded by beautiful countryside.)
sweater,n,毛衣 (名詞)
sweatshirt,n,運動衫；棉T (名詞)
sweet,adj,甜的；可愛的；悅耳的 (形容詞) (例如: sweet food; a sweet face; a sweet smell)
sweet,n,糖果(英式)；甜點 (名詞) (例如: to eat a sweet)
swim,n,游泳 (名詞)
swim,v,游泳 (動詞)
swimmer,n,游泳者 (名詞)
swimming,n,游泳 (名詞)
swimming costume,n,泳衣 (名詞) (英式英語)
swimming pool,n,游泳池 (名詞)
swimsuit,n,泳衣 (名詞)
switch,n,開關；轉換 (名詞) (例如: light switch)
switch,v,轉換；交換；打開/關掉(開關) (動詞) (例如: to switch on a machine)
system,n,系統；制度；方法 (名詞)
table,n,桌子；表格 (名詞)
table-cloth,n,桌布 (名詞)
tablet,n,藥片；平板電腦；碑 (名詞)
table tennis,n,桌球；乒乓球 (名詞)
take,v,拿；取；花費(時間)；搭乘；接受；拍照；攻下 (動詞) (例如: to take someone's hand; to take someone's things (steal/borrow); to take a photo; to take a long time; to take a holiday)
takeaway,n,外賣食物；外賣店 (名詞) (英式)
take away,v phr,拿走；減去 (動詞片語) (例如: Take 15 away from 78.)
take care of,v phr,照顧；處理 (動詞片語) (例如: take care of someone.)
take off,phr v,脫掉(衣物)；(飛機)起飛；休假 (片語動詞) (例如: Do you want to take off your coat?; The plane takes off at 6.)
take part (in),v phr,參加 (動詞片語) (例如: Everybody took part in the meeting.)
take place,v phr,發生；舉行 (動詞片語) (例如: The meeting took place at six.)
take up,phr v,開始從事(嗜好、運動)；佔據(空間、時間) (片語動詞) (例如: He decided to take up a new hobby.)
talent,n,天賦；才能；人才 (名詞)
talented,adj,有天賦的；有才能的 (形容詞)
talk,n,談話；演講 (名詞)
talk,v,說話；談論 (動詞)
talk show,n,脫口秀節目 (名詞)
tall,adj,高的 (形容詞)
tap,n,水龍頭；輕拍 (名詞) (例如: a cold-water tap)
taste,n,味道；品味；體驗 (名詞) (例如: to have good taste)
taste,v,品嚐；有...味道 (動詞) (例如: to taste food; It tastes good.)
tasty,adj,美味的；好吃的 (形容詞)
tax,n,稅 (名詞)
taxi,n,計程車 (名詞)
tea,n,茶；下午茶點 (名詞)
teach,v,教導；教授 (動詞)
teacher,n,老師；教師 (名詞)
teaching,n,教學；教導 (名詞)
